user_id,following
1399,[669]
1401,[2751]
1402,[36]
1405,[2751]
1406,[2751]
1407,"[36,37]"
1409,"[235,49]"
1411,"[32,34]"
1413,[38]
1414,[145]
1416,[669]
1417,"[32,41,36]"
1418,[32]
1420,[34]
1423,[4129]
1424,[30]
1426,[36]
1429,[32]
1433,[32]
1440,[32]
1441,"[34,4231]"
1444,[34]
1449,"[41,2751]"
1450,"[32,34,669]"
1453,"[2751,32]"
1455,[32]
1456,"[32,39630]"
1461,"[38,36]"
1462,[42]
1465,[19023]
1466,"[49,30]"
1468,[30]
1470,[3316]
1474,"[32,30,34]"
1475,"[41,36,21,19023,33,2977,30,32,13199]"
1476,"[30,32,34,37,669,21,40,49,36,38]"
1478,[30]
1480,[34]
1481,[37]
1484,[30]
1487,[34]
1489,"[2977,9941,12411,4298,19241,23932,32]"
1491,"[42,30]"
1499,[4231]
1505,[30]
1507,"[34,32,21,40,2751,4298,12770,13199,10657]"
1508,"[21,22670,23932,2751,34049]"
1509,"[32,21]"
1512,[30]
1513,"[32,3316,4298]"
1519,[32]
1527,[34]
1528,[669]
1529,[32]
1530,[235]
1531,"[40,36]"
1532,"[669,14260]"
1534,[30]
1537,[40]
1538,"[41,32]"
1542,"[32,30]"
1546,"[41,30,40]"
1547,[32]
1548,[2751]
1550,[32]
1553,[32]
1554,[41]
1557,[21]
1558,[32]
1564,"[30,34]"
1565,"[37,30,34,669,36,40]"
1568,[669]
1569,"[21,3316]"
1571,"[669,30]"
1573,[32]
1574,[32]
1577,"[37,41]"
1579,[32]
1581,[41]
1582,[33]
1584,"[36,30]"
1585,"[41,4298,3316,13199,36,12770,24586]"
1589,[32]
1591,[37]
1593,[30]
1597,[2751]
1600,[36]
1604,[32]
1605,[32]
1606,[32]
1607,[19023]
1610,"[34,37,669,3355]"
1617,[32]
1621,[49]
1627,[22670]
1628,"[32,34]"
1638,[145]
1640,[12411]
1642,[21]
1643,[2751]
1645,"[34,32]"
1653,"[21,49]"
1658,[669]
1659,[669]
1660,[42]
1668,[32]
1670,[38271]
1675,"[34,30,22670,46650]"
1676,[36]
1677,[145]
1678,[4231]
1679,[145]
1683,[2751]
1686,"[21,32,12411,24586]"
1687,[42]
1688,"[32,669]"
1689,[34]
1690,"[34,32,669]"
1696,"[34,2977,12770]"
1698,[669]
1700,[30]
1703,[40]
1705,[32]
1707,"[38,145]"
1711,"[32,41]"
1712,[30]
1713,[2751]
1717,"[9031,32]"
1723,[30]
1724,[41]
1730,"[30,34]"
1733,[32]
1735,"[34,32]"
1736,[36]
1737,[40]
1740,[30]
1742,"[34,21]"
1743,[40]
1751,[32]
1756,[32]
1758,[8245]
1759,[30]
1760,[33]
1763,[669]
1766,"[1355,34,13199,2751]"
1773,"[31,42,30]"
1775,[33]
1778,[30]
1783,[36]
1784,[1784]
1799,"[41,34,2751,4129]"
1802,[450]
1804,[30]
1805,[33]
1809,"[40,32,669]"
1810,[4231]
1811,[41]
1814,"[669,34]"
1816,"[4217,2977]"
1820,[32]
1824,[34]
1826,[37]
1828,"[37,32,38]"
1829,[32]
1830,[34]
1832,"[30,32,34]"
1842,[30]
1844,[21]
1850,[21]
1852,[30]
1855,[34]
